review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
R3N0XV9267NOXV,5,41,47,Y,N
RSA6JQ346JZHZ,5,55,64,Y,Y
R1FXF4HRMCLG4C,5,69,84,Y,N
RCTBWC3II42MG,4,113,117,Y,N
RTMQM2CQ1XIZ0,5,21,25,Y,N
R2CBJLCKQ612KU,4,27,35,Y,N
R322QDGO4AV2B5,5,55,65,Y,N
R2S7CXRDGQ6EE,4,36,39,Y,N
R3ECMXK0SGR1VV,5,59,64,Y,N
R3D55CPJ6J6Z78,4,15,20,Y,N
R1Y9OYIUCP3WD2,4,20,20,Y,N
RT8AV0IB2PGHH,4,108,132,Y,N
R2RLHJRJD9B0NX,3,44,47,Y,N
RAPD7IX0LPZ10,4,36,37,Y,N
R37QPCBNR07PPR,1,22,27,Y,N
R3BRFPK8N59XPY,5,364,395,Y,N
R1WE59I775L7L9,4,31,33,Y,N
RO8IGQJV1PKCJ,5,78,84,Y,N
RWZDJT9MQP6A4,5,86,97,Y,N
R2VDXEVKFSJU36,5,20,22,Y,N
R2WA8H2MISWIZU,5,20,20,Y,N
R1RY08C982SZNK,1,30,34,Y,N
R3HG2Q4O6BJUX6,4,28,36,Y,N
R20F1RTIQQ9FLZ,3,21,24,Y,N
RNMHWQWGLI9D7,5,130,138,Y,N
R43HJRUI10CD9,4,27,28,Y,N
R273GX5BTW2DTP,4,36,39,Y,N
R3K15WNTJPBUZP,4,23,23,Y,N
R3788NU4SARGJY,5,35,40,Y,N
R3VSA3TKBE5X59,5,101,106,Y,N
R2UIGSE41R7XCU,5,42,48,Y,N
RXU58PE69MVZL,5,93,98,Y,N
R2KJ3JFL6CZVXC,4,29,30,Y,N
R3IO8MCA903UD,5,17,22,Y,N
R2T27D9B6VZL4J,5,37,38,Y,N
R3HEGOILPBBK4,5,67,74,Y,N
R2AS613FN23WKF,4,28,29,Y,N
R20BO7QSE7IA9T,4,26,28,Y,N
R32ZX6968R5KHJ,5,27,27,Y,N
RWYADWGFZIZY6,5,18,23,Y,N
R2ZF8UPU7EL2WE,4,28,30,Y,N
R1OHU08VC35IFU,3,54,61,Y,N
RUFH30P31NNNM,2,16,21,Y,N
R15YCOJRBQ6GBM,3,28,36,Y,N
R3E00FGBWNYTRC,2,13,20,Y,N
R3VPWS9YL50VP6,5,147,154,Y,N
R2OFK69CET2PB5,5,16,21,Y,N
R11DSQA8797YOC,4,22,27,Y,N
RRZO7UGMUV2UV,4,25,32,Y,N
R32UBMUO58RZ0C,3,25,30,Y,N
R2JBD4E6OAYUW5,5,34,37,Y,N
R116M5FPCRFBV8,4,137,148,Y,N
R23ODGIDYLBTKM,5,143,146,Y,N
RNKGF0Y3DP3SW,3,143,174,Y,N
R8N0JG05TF4RK,5,35,38,Y,N
R2AC5OYFG65GP,5,33,34,Y,N
R2ID1FPA2KTT95,5,28,33,Y,N
R2MYPPOSPX59GU,3,28,29,Y,N
R3BI0G48ULNF6T,4,31,32,Y,N
R2NIX3DG2CX997,5,26,28,Y,N
R35GRCJ3GZ523J,5,62,70,Y,N
R1WYIZKWKI7VZL,5,36,42,Y,N
R1Q1XCWE9C00DF,5,33,38,Y,N
R399JCLQ0696JO,3,80,84,Y,N
R2CL3BN2TJ28PX,5,24,29,Y,N
R23EQ5CK25RNE2,5,350,384,Y,N
R5GY59R7WCNKW,5,147,165,Y,N
R39FDQXUM52HFZ,5,31,35,Y,N
RGOI2312WQTTX,5,42,43,Y,N
R370J87II1IB95,4,19,21,Y,N
R16WUDKL5GIFV7,5,24,25,Y,N
R1CVLR0D0W8SCV,5,25,29,Y,N
